REF;MERCADO;ZONA;HECTÁREAS; PRECIO;INFORMACIÓN;USO SUELO;USOSUELOCAT;LEGAL;PROPIEDAD;SERVICIOS;UBICACIÓN;LONGITUD;LATITUD
T143;Qro;PIQ;96;800;Frente a Parque Querétaro;15 ha Industrial, 81 ha Agrícola;Industrial;Escrituras;Privada;Todos los servicios a pie de terreno;https://maps.app.goo.gl/FMdFyagksN3nZKAq6;-99.57069;19.397
T349;Qro;San Ildefonso;34.12;650;A 5 min del aeropuerto;Agricola pero garantizan cambio de uso de suelo;Otros;Escrituras;Privada;Todos los servicios a pie de terreno;https://maps.app.goo.gl/rpHaa3oBX6M1Xkaj9;-99.55772;19.37739
T305;Tij;Paso del Aguila;55.7;22;Sobre la carretera Mexicali - Tijuana en Tecate, muy cerca del parque industrial de inqbate. s factibilidades de servicio están en tramite.;En proceso cambio a industrial ;Otros;Escrituras;Privada;Factible todos los servicios;https://maps.app.goo.gl/MCasoo3vBHMEE6eT9;-103.21094;20.43417
T587;EM;Cuautitlán;360;2500;Muy cerca del Circuito Mexiquense y Fraccionamiento la Providencia;H200 pero autorización para H100 por el cabildo;Otros;Escrituras;Privada;Luz y agua, sin drenaje;https://maps.app.goo.gl/rCKSNbLuBF5S7WHcA;-116.68392;32.53606
T586;EM;Tepotzotlán;70;5500;A un costado de la autopista México-Querétaro y justo a lado de MEGAPARK;Industria grande no contaminante;Industrial;Título de propiedad;Privada;Agua: pre-factibilidad, CFE: factibilidad;https://goo.gl/maps/3NrxiH9WGF3uB3bu5;-106.31797;31.61867
T352;Qro;San José el Alto;10.7;900;San José el Alto;Industria ligera;Industrial;Escrituras;Privada;Pozo de agua;https://maps.app.goo.gl/U4uZYr9qxSpnHrBw6;-99.04322;19.78917
T518;Qro;La Esperanza;7.6;650;Muy cerca de la carretera 100;Industria ligera;Industrial;Listo para escriturar;Privada;Kvas suministrados por empresa privada, agua por pipas;https://maps.app.goo.gl/GFB515tWSW7bCbVZ8;-100.367;20.78219
T362;Qro;San Luis de La Paz;26;1000;San Luis de La Paz, frente a Kohler;Industria Mediana;Industrial;Escrituras;Privada;Luz, pozo de agua, internet, bardeado, con caseta de vigilancia;https://maps.app.goo.gl/cysfTR6XbrhbZKDU7;-103.27422;20.49064
T323;Qro;Santa Rosa;10 a 20;1500;Carretera SLP-Qro, adelante de U Politecnica;Industria mediana;Industrial;Escrituras;Privada;Electricidad;https://maps.app.goo.gl/PVR3TeABGMbZByfk8?g_st=iw;-116.96183;32.33858
T369;EM;Nextlalpan;31.2;2500;Tepotzotlán 9 km Cuautitlán 12 km, AIFA 13 km, Tultitlan 15 km, Ancho: 289 m x Largo: 1,246 m. Orientación: Norte;Industria Mediana No Contaminante;Industrial;Escriturado y libre de Gravamen;Privada;Factible todos los servicios;https://maps.app.goo.gl/YRQagYR7aUKC61oJ8;-103.29006;20.58064
